"G477","Hanabi",,"Cooperative Card Game","Beginner to Intermediate","Players work together to create a perfect fireworks display by placing cards in the correct order, but can't see their own cards.","5","8+","25 minutes","Hanabi card game","Place all cards in order to achieve the highest score.","Teamwork; Memory; Communication","2 minutes","Indoor","Tabletop","Low","Improves memory and cooperative skills","Board Games"
"G478","The Mind",,"Cooperative Card Game","Beginner to Intermediate","Players must play cards in ascending order without communicating.","4","8+","15 minutes","The Mind card game","Complete all levels by playing cards in the correct order silently.","Teamwork; Intuition; Timing","1 minute","Indoor","Tabletop","Low","Enhances team synchronization and intuition","Card Games"
"G479","Clank!",,"Deck-Building Adventure Game","Intermediate","Players delve into a dungeon to steal artifacts, using deck-building mechanics, while avoiding making too much noise.","4","13+","60 minutes","Clank! game set","Collect valuable artifacts and escape the dungeon alive.","Strategic planning; Risk management; Deck optimization","10 minutes","Indoor","Tabletop","Low","Combines strategic thinking with deck-building skills","Board Games"
"G480","Sheriff of Nottingham",,"Bluffing Game","Beginner to Intermediate","Players take turns as the Sheriff, while others try to bring goods into the city, possibly bluffing about their contents.","5","13+","60 minutes","Sheriff of Nottingham game set","Accumulate the most wealth by legally or illegally bringing goods into Nottingham.","Bluffing; Negotiation; Strategic thinking","5 minutes","Indoor","Tabletop","Low","Enhances negotiation and bluffing skills","Party Games"
"G481","Camel Up",,"Betting Game","Beginner to Intermediate","Players bet on camels in a race around a pyramid, with the goal of winning the most money.","8","8+","30 minutes","Camel Up game set","Accurately predict and bet on the camel race outcomes.","Probability; Risk assessment; Strategic thinking","5 minutes","Indoor","Tabletop","Low","Improves probability assessment and strategic planning","Board Games"
"G482","Decrypto",,"Communication Game","Intermediate","Teams compete to transmit codes to their teammates without interception by the opposing team.","8","12+","30 minutes","Decrypto game set","Correctly guess your team's codes while intercepting the opponent's.","Communication; Deduction; Teamwork","5 minutes","Indoor","Tabletop","Low","Enhances communication and deductive reasoning","Party Games"
"G483","Sagrada",,"Dice-Drafting Game","Intermediate","Players design a stained-glass window using colorful dice, following specific placement rules.","4","13+","30-45 minutes","Sagrada game set","Score the most points by creating a window that meets specific patterns and objectives.","Pattern recognition; Strategic planning; Spatial reasoning","5 minutes","Indoor","Tabletop","Low","Develops pattern recognition and strategic thinking","Board Games"
"G484","Love Letter",,"Card Game","Beginner","Players attempt to get their love letter to the princess while deflecting other players' letters.","4","10+","20 minutes","Love Letter card game","Be the last player remaining or have the highest card when the deck runs out.","Deduction; Risk management; Strategic thinking","1 minute","Indoor","Tabletop","Low","Enhances strategic planning and deduction skills","Card Games"
"G485","Ghost Blitz",,"Reaction Game","Beginner","Players flip cards and grab the correct item quickly based on the card's image.","8","8+","20 minutes","Ghost Blitz game set","Collect the most cards by reacting quickly and correctly.","Speed; Observation; Reflexes","2 minutes","Indoor","Tabletop","Low","Improves quick thinking and reflexes","Party Games"
"G486","Timeline",,"Educational Card Game","Beginner","Players place cards representing historical events in the correct chronological order.","8","8+","15 minutes","Timeline card game","Be the first to correctly place all your cards on the timeline.","Historical knowledge; Memory; Deduction","1 minute","Indoor","Tabletop","Low","Enhances historical knowledge and memory","Educational Games"
"G487","Ticket to Ride: New York",,"Strategy Board Game","Beginner","A quick version of Ticket to Ride set in New York City, using taxis instead of trains.","4","8+","10-15 minutes","Ticket to Ride: New York game set","Score the most points by completing routes and visiting landmarks.","Strategic planning; Geography knowledge; Risk management","2 minutes","Indoor","Tabletop","Low","Enhances strategic thinking and geographical knowledge","Board Games"
"G488","Onitama",,"Abstract Strategy Game","Beginner to Intermediate","A two-player game where movement cards dictate the possible moves of pieces on a small board.","2","8+","15-20 minutes","Onitama game set","Defeat the opponent's master or occupy their temple arch.","Strategic planning; Tactical thinking; Adaptability","1 minute","Indoor","Tabletop","Low","Improves strategic thinking and adaptability","Board Games"
"G489","Kingdomino",,"Tile-Laying Game","Beginner","Players build their own kingdoms by connecting domino-like tiles with different terrains.","4","8+","15-20 minutes","Kingdomino game set","Score the most points by creating the most valuable kingdom.","Spatial reasoning; Strategic planning; Probability","2 minutes","Indoor","Tabletop","Low","Enhances spatial awareness and strategic thinking","Board Games"
"G490","Tsuro",,"Abstract Strategy Game","Beginner","Players place path tiles to move their token, aiming to stay on the board the longest.","8","8+","15 minutes","Tsuro game set","Be the last player with a token on the board.","Strategic planning; Spatial reasoning; Risk management","1 minute","Indoor","Tabletop","Low","Develops strategic thinking and spatial skills","Board Games"
"G491","Dragonwood",,"Card and Dice Game","Beginner","Players collect sets of cards to earn dice, which they use to defeat creatures and earn points.","4","8+","20 minutes","Dragonwood game set","Accumulate the most victory points by capturing creatures.","Probability; Risk management; Strategic planning","2 minutes","Indoor","Tabletop","Low","Enhances strategic thinking and probability assessment","Card Games"
"G492","Photosynthesis",,"Strategy Board Game","Intermediate","Players grow trees in a forest, harvesting them for points while considering sunlight and shadow dynamics.","4","8+","45-60 minutes","Photosynthesis game set","Score the most points by strategically growing and harvesting trees.","Strategic planning; Environmental concepts; Spatial reasoning","5 minutes","Indoor","Tabletop","Low","Introduces environmental concepts and strategic thinking","Board Games"
"G493","Unlock! Escape Adventures",,"Cooperative Puzzle Game","Intermediate","An escape room experience where players solve puzzles using cards and a companion app.","6","10+","60 minutes","Unlock! game set; Mobile app","Solve all puzzles to 'escape' within the time limit.","Problem-solving; Teamwork; Critical thinking","5 minutes","Indoor","Tabletop","Low","Enhances problem-solving and teamwork skills","Mind Games"
"G494","Takenoko",,"Strategy Board Game","Beginner to Intermediate","Players cultivate land plots, irrigate them, and grow bamboo while caring for a panda.","4","8+","45 minutes","Takenoko game set","Score the most points by completing objectives related to gardening and feeding the panda.","Strategic planning; Resource management; Environmental concepts","5 minutes","Indoor","Tabletop","Low","Encourages strategic thinking and introduces environmental concepts","Board Games"
"G495","Forbidden Desert",,"Cooperative Board Game","Intermediate","Players work together to recover a legendary flying machine buried in a desert storm.","5","10+","45 minutes","Forbidden Desert game set","Find all parts of the flying machine and escape before perishing.","Teamwork; Strategic planning; Problem-solving","5 minutes","Indoor","Tabletop","Low","Enhances cooperative skills and strategic thinking","Board Games"
"G496","Mysterium",,"Cooperative Deduction Game","Intermediate","One player is a ghost who sends visions to mediums to solve a murder mystery.","7","10+","42 minutes","Mysterium game set","Correctly identify the culprit, location, and weapon with the ghost's clues.","Deduction; Communication; Interpretation","5 minutes","Indoor","Tabletop","Low","Improves deductive reasoning and teamwork","Party Games"
"G497","Spyfall 2",,"Social Deduction Game","Beginner to Intermediate","An expanded version of Spyfall with more locations and up to 12 players.","12","13+","15 minutes per round","Spyfall 2 cards or app","Identify the spy or, as the spy, guess the location.","Deductive reasoning; Bluffing; Communication","2 minutes","Indoor","Tabletop","Low","Enhances deductive reasoning and social interaction","Party Games"
"G498","Galaxy Trucker",,"Strategy Board Game","Intermediate","Players build spaceships in real-time from available components and then navigate them through hazards.","4","10+","60 minutes","Galaxy Trucker game set","Accumulate the most credits by successfully delivering goods and surviving the journey.","Strategic planning; Time management; Risk assessment","5 minutes","Indoor","Tabletop","Low","Develops strategic thinking and time management skills","Board Games"
"G499","Imhotep",,"Strategy Board Game","Beginner to Intermediate","Players become builders in ancient Egypt, transporting stones to various construction sites.","4","10+","40 minutes","Imhotep game set","Score the most points by contributing to monumental structures.","Strategic planning; Resource management; Timing","5 minutes","Indoor","Tabletop","Low","Enhances strategic planning and timing skills","Board Games"
"G500","Karuba",,"Tile-Laying Game","Beginner to Intermediate","Players lead adventurers through the jungle to find hidden temples by placing tiles strategically.","4","8+","40 minutes","Karuba game set","Score the most points by guiding adventurers to temples and collecting treasures.","Strategic planning; Spatial reasoning; Problem-solving","2 minutes","Indoor","Tabletop","Low","Develops spatial reasoning and strategic thinking","Board Games"
"G451","Catan (Germany)","Settlers of Catan","Strategy Board Game","Beginner to Intermediate","Players collect and trade resources to build settlements, cities, and roads to earn victory points on the island of Catan.","4","10+","60-90 minutes","Catan game set","Be the first to reach the required number of victory points by building and trading.","Strategic thinking; Resource management; Negotiation","5 minutes","Indoor","Tabletop","Low","Enhances strategic planning and negotiation skills","Board Games"
"G452","Pandemic",,"Cooperative Board Game","Intermediate","Players work together as a team of specialists to treat infections around the world while gathering resources for cures.","4","8+","45-60 minutes","Pandemic game set","Cure all diseases before they overwhelm the world.","Teamwork; Strategic planning; Problem-solving","5 minutes","Indoor","Tabletop","Low","Enhances teamwork and cooperative problem-solving","Board Games"
"G453","Portal",,"Puzzle Video Game","Intermediate","A first-person puzzle-platform game where players solve puzzles using a portal gun to create linked portals on flat planes.","1","13+","4-6 hours","Computer or console; Game software","Navigate through test chambers using portals to reach the exit.","Problem-solving; Spatial reasoning; Critical thinking","2 minutes","Indoor","Home gaming setup","Low","Develops problem-solving and spatial reasoning skills","Video Games"
"G454","Dungeons & Dragons (USA)","D&D","Role-Playing Game","Beginner to Advanced","A tabletop role-playing game where players create characters and embark on imaginary adventures within a fantasy setting.","Unlimited","12+","Variable","Rulebooks; Dice; Character sheets","Collaboratively tell a story and overcome challenges set by the Dungeon Master.","Creativity; Teamwork; Problem-solving","15 minutes","Indoor","Tabletop","Low","Enhances creativity, storytelling, and social skills","Role-Playing Games"
"G455","Coding Unplugged Activities",,"Educational Game","Beginner","Offline activities that teach basic coding concepts without the use of computers, using physical objects and interactive tasks.","Unlimited","6+","Variable","Paper; Pens; Physical objects","Understand programming logic and concepts through interactive activities.","Logical thinking; Sequencing; Problem-solving","5 minutes","Indoor or Outdoor","Classroom or open area","Low","Introduces coding concepts in an accessible way","Educational Games"
"G456","Pictionary Air",,"Drawing Game","Beginner","A modern twist on Pictionary where players draw in the air using a special pen and see their drawings on a screen via a smartphone app.","Unlimited","8+","Variable","Pictionary Air pen; Smartphone or tablet","Get your team to guess the word or phrase you're drawing in the air.","Creativity; Visual communication; Teamwork","5 minutes","Indoor","Living room or open space","Low","Encourages creativity and visual expression","Party Games"
"G457","Karaoke Night",,"Music Game","Beginner","Participants sing along to music videos with lyrics displayed on a screen, either solo or in groups.","Unlimited","All ages","Variable","Microphone; Karaoke machine or app","Enjoy singing songs and entertaining others.","Confidence; Public speaking; Creativity","5 minutes","Indoor or Outdoor","Home or venue","Low","Enhances confidence and provides social entertainment","Party Games"
"G458","Blindfold Taste Test",,"Team-Building Activity","Beginner","Participants are blindfolded and try to guess various foods by taste, fostering trust and sensory awareness.","Unlimited","8+","Variable","Blindfolds; Variety of foods","Correctly identify the foods being tasted.","Sensory awareness; Communication; Trust","5 minutes","Indoor","Kitchen or dining area","Low","Enhances sensory perception and trust among team members","Team-Building Games"
"G459","Egg and Spoon Race",,"Outdoor Game","Beginner","Participants race while balancing an egg on a spoon, aiming to reach the finish line without dropping the egg.","Unlimited","5+","Variable","Eggs (or substitutes); Spoons","Reach the finish line first without dropping the egg.","Balance; Coordination; Concentration","2 minutes","Outdoor","Flat surface","Moderate","Improves balance and coordination","Children's Games"
"G460","Mölkky (Finland)","Finnish Skittles","Outdoor Game","Beginner","A lawn game where players knock down numbered wooden pins by tossing a wooden pin at them, aiming to reach exactly 50 points.","Unlimited","6+","Variable","Mölkky game set","Reach exactly 50 points by knocking down pins.","Throwing accuracy; Math skills; Strategy","5 minutes","Outdoor","Grass or flat surface","Low to Moderate","Develops coordination and basic arithmetic","Traditional and Cultural Games"
